category,user_input,response,priority,is_active
conversation,nice to meet you,Nice to meet you too! I am changAI from Norwa Group.,90,1
conversation,nice to talk to you,The pleasure is mine! changAI is here for you.,88,1
conversation,cool,Thanks! changAI is always here when you need help.,75,1
conversation,ok,Got it! changAI is standing by. Let me know what you need.,75,1
conversation,okay,Okay! changAI is ready. Just say the word.,75,1
conversation,alright,Alright! changAI is here and ready. What can I do for you?,75,1
conversation,sure,Sure thing! changAI is on it. What do you need?,75,1
conversation,yes,Great! changAI is listening. How can I help?,75,1
conversation,no,No problem! changAI is here whenever you need anything.,75,1
conversation,maybe,Take your time! changAI will be here whenever you are ready.,72,1
conversation,i see,Understood! changAI is here if you have more questions.,72,1
conversation,got it,Perfect! Let changAI know if you need anything else.,72,1
conversation,understood,Great! changAI is here for any follow-up questions.,72,1
conversation,makes sense,Glad it helps! changAI is always here.,70,1
conversation,interesting,changAI loves curious minds! Anything else I can help with?,70,1
support,help,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,100,1
support,help me,"For the best help, drop your issue in the Support tab on Changai / Norwa Group and someone will follow up shortly.",100,1
support,support,Our support team is ready — please go ahead and post your query in the Support tab on Changai / Norwa Group.,100,1
support,need help,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,100,1
support,need support,Our support team is ready — please go ahead and post your query in the Support tab on Changai / Norwa Group.,100,1
support,assistance,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,100,1
support,need assistance,"For support issues, please post your query in the Support tab on Changai / Norwa Group and our team will get back to you.",100,1
support,can you help,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,100,1
support,can you help me,"For support queries, the best place is the Support tab on Changai / Norwa Group. Please post your issue there and we'll take care of it.",100,1
support,i have an issue,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,98,1
support,i have a problem,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,98,1
support,issue,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,95,1
support,problem,Our support team is ready — please go ahead and post your query in the Support tab on Changai / Norwa Group.,95,1
support,not working,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,95,1
support,something wrong,Our support team is ready — please go ahead and post your query in the Support tab on Changai / Norwa Group.,95,1
support,something is wrong,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,95,1
support,its not working,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,95,1
support,doesnt work,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,95,1
support,wont work,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,95,1
support,got an issue,"For support queries, the best place is the Support tab on Changai / Norwa Group. Please post your issue there and we'll take care of it.",93,1
support,got a problem,"To make sure your issue gets resolved fast, please post it in the Support tab on Changai / Norwa Group.",93,1
support,facing issue,Please submit your concern through the Support tab on Changai / Norwa Group for a quick resolution.,93,1
support,facing problem,"For support queries, the best place is the Support tab on Changai / Norwa Group. Please post your issue there and we'll take care of it.",93,1
support,there is a problem,"For the best help, drop your issue in the Support tab on Changai / Norwa Group and someone will follow up shortly.",93,1
support,theres a problem,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,93,1
support,customer support,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,100,1
support,technical support,Please submit your concern through the Support tab on Changai / Norwa Group for a quick resolution.,100,1
support,i need help,Please use the Support tab on Changai / Norwa Group to report your issue — our team monitors it regularly and will respond soon.,100,1
support,i need support,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,100,1
support,please help,"For support queries, the best place is the Support tab on Changai / Norwa Group. Please post your issue there and we'll take care of it.",98,1
support,please help me,"For the best help, drop your issue in the Support tab on Changai / Norwa Group and someone will follow up shortly.",98,1
support,help please,Our support team is ready — please go ahead and post your query in the Support tab on Changai / Norwa Group.,98,1
support,can someone help,"For support queries, the best place is the Support tab on Changai / Norwa Group. Please post your issue there and we'll take care of it.",95,1
support,anybody there,"For support queries, the best place is the Support tab on Changai / Norwa Group. Please post your issue there and we'll take care of it.",90,1
support,anyone there,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,90,1
support,urgent,"To make sure your issue gets resolved fast, please post it in the Support tab on Changai / Norwa Group.",105,1
support,urgent help,Please submit your concern through the Support tab on Changai / Norwa Group for a quick resolution.,105,1
support,urgent issue,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,105,1
support,error,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,95,1
support,bug,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,92,1
support,crash,"For the best help, drop your issue in the Support tab on Changai / Norwa Group and someone will follow up shortly.",95,1
support,not loading,"To make sure your issue gets resolved fast, please post it in the Support tab on Changai / Norwa Group.",93,1
support,loading issue,Kindly raise your concern in the Support tab on Changai / Norwa Group so the right team can assist you.,93,1
support,login issue,"For support queries, the best place is the Support tab on Changai / Norwa Group. Please post your issue there and we'll take care of it.",95,1
support,cant login,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,95,1
support,cannot login,"To make sure your issue gets resolved fast, please post it in the Support tab on Changai / Norwa Group.",95,1
support,password issue,Kindly raise your concern in the Support tab on Changai / Norwa Group so the right team can assist you.,93,1
support,forgot password,"To make sure your issue gets resolved fast, please post it in the Support tab on Changai / Norwa Group.",93,1
support,account issue,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,93,1
support,account problem,"For the best help, drop your issue in the Support tab on Changai / Norwa Group and someone will follow up shortly.",93,1
support,system down,"To make sure your issue gets resolved fast, please post it in the Support tab on Changai / Norwa Group.",100,1
support,service down,"For support issues, please post your query in the Support tab on Changai / Norwa Group and our team will get back to you.",100,1
support,down,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,95,1
support,slow,"For the best help, drop your issue in the Support tab on Changai / Norwa Group and someone will follow up shortly.",88,1
support,laggy,Our support team is ready — please go ahead and post your query in the Support tab on Changai / Norwa Group.,88,1
support,lag,Our support team is ready — please go ahead and post your query in the Support tab on Changai / Norwa Group.,88,1
support,data issue,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,93,1
support,data missing,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,93,1
support,missing data,"For support queries, the best place is the Support tab on Changai / Norwa Group. Please post your issue there and we'll take care of it.",93,1
support,report issue,Please submit your concern through the Support tab on Changai / Norwa Group for a quick resolution.,90,1
support,invoice issue,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,90,1
support,billing issue,"For support queries, the best place is the Support tab on Changai / Norwa Group. Please post your issue there and we'll take care of it.",92,1
support,payment issue,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,92,1
support,payment problem,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,92,1
support,integration issue,"To make sure your issue gets resolved fast, please post it in the Support tab on Changai / Norwa Group.",90,1
support,sync issue,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,90,1
support,setup help,Kindly raise your concern in the Support tab on Changai / Norwa Group so the right team can assist you.,90,1
support,installation help,"To make sure your issue gets resolved fast, please post it in the Support tab on Changai / Norwa Group.",90,1
support,configuration help,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,88,1
support,how to,Please submit your concern through the Support tab on Changai / Norwa Group for a quick resolution.,85,1
support,how do i,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,85,1
support,how can i,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,85,1
support,i dont understand,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,85,1
support,confused,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,83,1
support,not sure,"To make sure your issue gets resolved fast, please post it in the Support tab on Changai / Norwa Group.",82,1
support,need guidance,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,88,1
support,guidance,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,85,1
support,advice,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,82,1
support,query,Please use the Support tab on Changai / Norwa Group to report your issue — our team monitors it regularly and will respond soon.,85,1
support,question,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,85,1
support,i have a question,Kindly raise your concern in the Support tab on Changai / Norwa Group so the right team can assist you.,88,1
support,complaint,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,95,1
support,complain,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,95,1
support,feedback,Please submit your concern through the Support tab on Changai / Norwa Group for a quick resolution.,88,1
support,refund,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,93,1
support,cancel,"For the best help, drop your issue in the Support tab on Changai / Norwa Group and someone will follow up shortly.",90,1
support,cancellation,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,90,1
support,subscription issue,Please submit your concern through the Support tab on Changai / Norwa Group for a quick resolution.,90,1
support,renewal issue,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,88,1
support,demo issue,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,85,1
support,trial issue,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,85,1
support,access issue,"For support queries, the best place is the Support tab on Changai / Norwa Group. Please post your issue there and we'll take care of it.",92,1
support,permission issue,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,90,1
support,user issue,"For support issues, please post your query in the Support tab on Changai / Norwa Group and our team will get back to you.",88,1
support,admin issue,Please use the Support tab on Changai / Norwa Group to report your issue — our team monitors it regularly and will respond soon.,88,1
support,module issue,"For support issues, please post your query in the Support tab on Changai / Norwa Group and our team will get back to you.",88,1
support,feature not working,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,92,1
support,update issue,Please share the details of your issue in the Support tab on Changai / Norwa Group for prompt assistance.,90,1
support,upgrade issue,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,90,1
support,migration issue,Please head over to the Support tab on Changai / Norwa Group and post your issue there — our team is ready to help!,90,1
support,backup issue,"For the best help, drop your issue in the Support tab on Changai / Norwa Group and someone will follow up shortly.",90,1
support,export issue,Please use the Support tab on Changai / Norwa Group to report your issue — our team monitors it regularly and will respond soon.,88,1
support,import issue,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,88,1
support,api issue,Kindly raise your concern in the Support tab on Changai / Norwa Group so the right team can assist you.,90,1
support,connection issue,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,90,1
support,network issue,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,90,1
support,server issue,Kindly use the Support tab on Changai / Norwa Group to log your issue and our team will look into it.,92,1
support,database issue,Just pop your issue into the Support tab on Changai / Norwa Group and our team will pick it up.,90,1
support,storage issue,Please use the Support tab on Changai / Norwa Group to report your issue — our team monitors it regularly and will respond soon.,88,1
thanks,thanks,Thank you for reaching out! changAI is always here.,100,1
thanks,thank you,You're welcome! changAI loves helping Norwa Group users.,100,1
thanks,thx,You are very welcome! Norwa Group is happy to help.,90,1
thanks,ty,You're welcome! changAI loves helping Norwa Group users.,88,1
thanks,thank u,It was my pleasure! Norwa Group's changAI is always here.,92,1
thanks,many thanks,No problem at all! changAI is here whenever you need.,95,1
thanks,thanks a lot,It was my pleasure! Norwa Group's changAI is always here.,95,1
thanks,thank you so much,You are very welcome! Norwa Group is happy to help.,100,1
thanks,thanks so much,My pleasure! changAI is always here for you.,98,1
thanks,much appreciated,My pleasure! changAI is always here for you.,93,1
thanks,appreciate it,You are very welcome! Norwa Group is happy to help.,93,1
thanks,appreciated,It was my pleasure! Norwa Group's changAI is always here.,90,1
thanks,great help,Thank you for reaching out! changAI is always here.,90,1
thanks,very helpful,It was my pleasure! Norwa Group's changAI is always here.,90,1
thanks,so helpful,My pleasure! changAI is always here for you.,90,1
thanks,you are helpful,It was my pleasure! Norwa Group's changAI is always here.,88,1
thanks,you are great,Happy to help! Come back to changAI whenever you need.,88,1
thanks,you are amazing,No problem at all! changAI is here whenever you need.,88,1
thanks,awesome,My pleasure! changAI is always here for you.,85,1
thanks,brilliant,Anytime! changAI is always ready to assist.,85,1
thanks,perfect,Anytime! changAI is always ready to assist.,85,1
thanks,excellent,You are very welcome! Norwa Group is happy to help.,85,1
thanks,well done,You are very welcome! Norwa Group is happy to help.,85,1
thanks,good job,Anytime! changAI is always ready to assist.,85,1
thanks,nice,You are very welcome! Norwa Group is happy to help.,80,1
thanks,great,Thank you for reaching out! changAI is always here.,80,1
thanks,wonderful,My pleasure! changAI is always here for you.,82,1
thanks,fantastic,Glad I could help! changAI from Norwa Group at your service.,82,1
thanks,superb,My pleasure! changAI is always here for you.,82,1
thanks,outstanding,You are very welcome! Norwa Group is happy to help.,85,1
thanks,that helped,Happy to help! Come back to changAI whenever you need.,88,1
thanks,that was helpful,No problem at all! changAI is here whenever you need.,90,1
thanks,it worked,You are very welcome! Norwa Group is happy to help.,90,1
thanks,problem solved,You are very welcome! Norwa Group is happy to help.,90,1
thanks,issue resolved,Anytime! changAI is always ready to assist.,90,1
thanks,all good now,Happy to help! Come back to changAI whenever you need.,88,1
thanks,it is working now,Thank you for reaching out! changAI is always here.,90,1
thanks,working now,Always glad to help! changAI from Norwa Group is at your service.,88,1
thanks,got it thanks,No problem at all! changAI is here whenever you need.,90,1
thanks,understood thanks,No problem at all! changAI is here whenever you need.,88,1
goodbye,bye,See you later! changAI will be here whenever you need.,100,1
goodbye,goodbye,Bye! Come back anytime. changAI is always online.,100,1
goodbye,see ya,See you soon! changAI from Norwa Group is always here.,95,1
goodbye,see you,Have a great day! changAI from Norwa Group is always available.,95,1
goodbye,see you later,Goodbye! Norwa Group's changAI is always ready for your next question.,95,1
goodbye,see you soon,See you later! changAI will be here whenever you need.,95,1
goodbye,later,Have a great day! changAI from Norwa Group is always available.,90,1
goodbye,cya,Bye! Come back anytime. changAI is always online.,90,1
goodbye,talk to you later,Farewell! changAI is here for you anytime.,88,1
goodbye,talk later,Until next time! changAI from Norwa Group wishes you well.,88,1
goodbye,take care,See you later! changAI will be here whenever you need.,90,1
goodbye,have a good day,Farewell! changAI is here for you anytime.,90,1
goodbye,have a great day,Goodbye! changAI will be here when you need more help.,90,1
goodbye,have a nice day,See you later! changAI will be here whenever you need.,90,1
goodbye,good night,Until next time! changAI from Norwa Group wishes you well.,90,1
goodbye,night,See you later! changAI will be here whenever you need.,88,1
goodbye,nite,See you soon! changAI from Norwa Group is always here.,88,1
goodbye,sleep well,Bye! Come back anytime. changAI is always online.,85,1
goodbye,rest well,Have a great day! changAI from Norwa Group is always available.,85,1
goodbye,got to go,Bye bye! changAI is just a message away.,88,1
goodbye,gotta go,Bye! Come back anytime. changAI is always online.,88,1
goodbye,i have to go,Farewell! changAI is here for you anytime.,85,1
goodbye,i am leaving,Until next time! changAI from Norwa Group wishes you well.,85,1
goodbye,leaving now,Goodbye! changAI will be here when you need more help.,85,1
goodbye,catch you later,Take care! changAI is here whenever you need help.,85,1
goodbye,until next time,See you later! changAI will be here whenever you need.,85,1
goodbye,farewell,Farewell! changAI is here for you anytime.,88,1
goodbye,cheerio,Take care! changAI is here whenever you need help.,82,1
goodbye,cheers,Have a great day! changAI from Norwa Group is always available.,82,1
goodbye,all done,See you soon! changAI from Norwa Group is always here.,85,1
goodbye,i am done,See you later! changAI will be here whenever you need.,85,1
goodbye,done for now,Goodbye! changAI will be here when you need more help.,82,1
goodbye,that will be all,See you soon! changAI from Norwa Group is always here.,85,1
goodbye,thats all,Bye bye! changAI is just a message away.,83,1
goodbye,thats all for now,Bye bye! changAI is just a message away.,83,1
goodbye,no more questions,Bye bye! changAI is just a message away.,80,1
goodbye,nothing else,Have a great day! changAI from Norwa Group is always available.,80,1
goodbye,i am good for now,Farewell! changAI is here for you anytime.,82,1
goodbye,all set,Bye! Come back anytime. changAI is always online.,82,1
system,test,System check: changAI is online and connected to Norwa Group.,90,1
system,ping,Pong! changAI is active and connected to Norwa Group.,90,1
system,status,System status: changAI is operational. Norwa Group services are online.,90,1
system,hello test,Test received! changAI is online.,88,1
system,check,All good! changAI is online and Norwa Group is operational.,88,1
system,system check,System check passed! changAI is fully operational.,90,1
system,are you online,Yes! changAI is online and ready for you.,90,1
system,are you there,I am right here! changAI from Norwa Group is listening.,90,1
system,anybody home,Yes! changAI is here and ready to help.,88,1
system,hello is anyone there,I am here! changAI from Norwa Group is online.,90,1
system,is this working,Yes! changAI is working perfectly.,88,1
system,is this live,Yes! changAI is live and connected to Norwa Group.,88,1
system,can you hear me,Loud and clear! changAI is listening.,88,1
system,can you read me,Perfectly! changAI reads you loud and clear.,88,1
system,connection test,Connection established! changAI is online.,88,1
